Actor,file_name,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,ZCR,emotion
Actor_02,03-01-02-01-01-01-02.wav,-698.07587,70.690025,-2.29,12.190497,1.1434665,4.619095,-9.343387,5.610262,-9.482477,-2.0852337,-2.5283892,-2.290745,-2.3949482,-4.0191703,-4.3854694,-2.8808393,0.1308511,-3.4938035,-4.5380187,-1.9402221,0.06289876302083333,calm
Actor_25,03-01-03-02-01-02-25.wav,-179.48889,57.2794,19.313755,7.952922,0.5153519,-3.2338965,-12.972773,-1.8662919,-5.5542445,-2.664746,-5.762731,-7.173996,-0.74408495,-6.5238833,-4.538464,-5.4186406,-5.7589154,-4.6718965,-2.465115,-2.595206,0.17701939174107142,happy
Actor_09,03-01-05-01-01-01-09.wav,-746.457,86.925804,3.571607,15.467492,11.325593,24.662954,-1.481607,3.1364388,-3.2758784,-2.1990364,-2.6134229,0.8091984,3.0865297,-2.6078627,-0.5556503,3.2420902,-2.4183025,-0.05229078,-0.6249217,0.15439399,0.05260902518656716,angry
Actor_15,03-01-05-02-01-02-15.wav,-476.62927,62.575005,-8.35138,4.968887,-0.61916506,6.05783,-11.04834,0.8309356,2.872614,-4.6068544,-5.0310693,0.26251194,-2.9356568,-1.7481561,-1.0670531,-1.40469,-4.2582145,-0.28243923,-1.3755015,-4.775213,0.06770694221866097,angry
Actor_25,03-01-05-02-02-01-25.wav,-92.84377,24.665468,11.759453,-0.4422937,-1.8899324,1.2201605,-9.716362,-8.269914,-5.9552784,-5.5267215,-4.222564,-4.6352367,-3.5552144,-4.614422,-5.1208735,-6.0715528,-6.662789,-5.5580354,-7.6363935,-4.111326,0.2539542776639344,angry
Actor_10,03-01-02-02-02-01-10.wav,-590.4057,71.67921,2.7852147,11.256137,3.1456077,10.231235,-12.192984,2.5936055,-10.011452,-10.451084,-1.0408258,-3.6297677,-2.7112556,-5.57435,-5.64283,-0.26709214,-2.7995481,-1.4846928,-2.2174366,-2.4414182,0.09444344143907563,calm
Actor_02,03-01-04-01-01-02-02.wav,-696.2251,72.61911,-5.971652,6.434627,-0.27624494,2.8364086,-9.820615,3.4400737,-9.201118,-5.085862,-4.289515,-2.866197,-2.9726014,-5.1390038,-3.4942698,-4.2632737,-0.8274432,-3.123651,-5.798485,-2.2346954,0.04736603990112994,sad
Actor_21,03-01-07-01-01-01-21.wav,-586.8313,77.8322,-3.1223397,11.767134,8.290456,12.686183,-9.67832,1.9486359,1.4980059,-7.3596873,-6.6029453,0.6904014,1.0976357,-2.348757,-6.78441,-1.308405,-2.416831,-2.2104695,-0.7816875,-3.7011483,0.05360972514005602,disgust
Actor_19,03-01-04-02-01-01-19.wav,-553.1748,58.913807,1.5594054,15.493359,5.8218102,15.029501,-0.6668266,0.93665004,-8.599383,0.6017365,-2.0548863,-5.110834,-0.264158,-2.571613,-2.8811555,-1.0458966,-0.6893324,0.23979017,-0.16100653,-0.5460885,0.053259017619680854,sad
Actor_07,03-01-01-01-02-02-07.wav,-682.14435,90.102974,12.780686,22.22966,5.2732944,17.1316,-6.824179,3.4352589,-10.751446,0.38751316,3.329706,-4.0515714,-3.0682955,2.0761049,-0.7581165,3.9420364,-6.254473,1.7592641,2.1674814,-4.3270316,0.08999399038461539,neutral
Actor_23,03-01-04-02-01-02-23.wav,-640.36694,62.747467,-0.47407407,2.2895854,2.0211747,14.295498,-5.9572854,4.0157466,-10.036424,-4.0893426,-5.27281,-3.0911832,-1.3097796,-4.4737673,-4.100037,-0.5479662,-0.3944734,-2.6651945,-2.1876588,-1.3750074,0.08076290967987805,sad
Actor_19,03-01-02-01-02-02-19.wav,-781.6213,76.05636,16.618614,36.563427,13.83231,19.150215,8.551208,9.479683,-1.3870045,1.3777211,1.7078899,3.3101077,8.559484,1.8071634,0.74821,3.011711,0.21464193,1.9617952,3.2058644,1.6779368,0.04860944689417178,calm
Actor_17,03-01-02-02-01-02-17.wav,-709.39166,86.02695,15.198169,24.7604,13.202329,19.772923,1.7400444,14.4118,4.3517313,-0.7054214,3.7642865,1.9561733,2.7746253,-1.5046765,4.185589,4.043787,0.4810578,1.915479,2.4196408,-1.0641351,0.047136476053994084,calm
Actor_01,03-01-06-01-02-02-01.wav,-648.97406,78.302345,-1.7424384,14.431587,6.2418766,14.4565525,-5.611793,4.6549683,-8.24646,-6.148351,-7.476689,-0.21183343,0.59373397,-1.9911116,0.9711017,0.013414712,-2.9713142,0.89712787,1.8041457,-1.2302074,0.05543114673132184,fearful
Actor_24,03-01-02-01-01-01-24.wav,-765.3686,55.468166,-0.96931297,8.355431,-3.4282978,4.801448,-9.493275,-1.7996465,-12.925551,-7.3623214,-6.699264,-5.9965363,-6.507561,-4.7045503,-4.9104133,-6.1311784,-6.424207,-1.0534995,-6.641916,-4.527992,0.05209596548507463,calm
Actor_07,03-01-08-01-01-02-07.wav,-643.116,74.25263,5.7097435,19.294641,2.960557,13.386591,-12.936573,0.4064365,-5.831004,-1.6517537,-0.9465891,-2.7198567,-3.6315954,-1.2626903,-2.585248,-0.22495922,-4.146575,1.1144972,-0.4201245,-5.7743,0.06036156344126506,surprised
Actor_09,03-01-07-01-02-02-09.wav,-715.6486,90.17246,-1.5214837,19.32875,16.847553,17.40662,-2.6491973,2.4283986,-11.832021,-4.847843,4.999734,-0.99513257,-0.90078914,-0.71443194,0.41174832,2.3773644,-1.1774107,2.3015108,-1.2889689,0.26006275,0.07823638916015625,disgust
Actor_17,03-01-08-01-02-02-17.wav,-595.6538,69.483864,0.97774917,16.4533,2.1072528,11.84639,2.829074,11.741789,-2.548794,-4.1726437,-3.701615,4.104871,3.4012651,-1.2674676,-0.31285638,2.765379,-1.2049614,0.10270762,1.1122296,0.57614446,0.053911994485294115,surprised
Actor_19,03-01-08-01-02-01-19.wav,-697.3357,94.45922,2.96194,30.520607,6.5406036,10.638836,-2.7036412,8.679976,-4.8072352,-5.0897512,1.4945502,1.6448169,2.9423745,-3.4882302,-2.750845,4.492707,-3.4502287,-4.265034,3.885724,-0.15656525,0.05734197443181818,surprised
Actor_02,03-01-07-01-01-01-02.wav,-666.80176,72.579124,-11.815957,6.9202304,-2.7584267,0.74923795,-5.37671,1.8880272,-13.4000025,-4.9366503,-2.6466627,-0.79795146,-4.509567,-2.0346909,-3.0207548,-3.8283153,0.49006817,-3.080978,-4.469811,-1.5064778,0.0573143115942029,disgust
Actor_14,03-01-05-01-02-01-14.wav,-576.32983,42.4623,-12.112495,7.0685835,-3.746224,-5.2669744,-16.452454,1.9841013,-12.740788,-7.8647237,-4.742643,-5.888573,-4.21389,-3.20084,-6.053206,-3.8097303,-4.3974514,-5.0338855,-4.2875853,-2.323741,0.09081753027065527,angry
Actor_06,03-01-02-01-02-02-06.wav,-713.6052,91.171875,-7.0031366,10.2425,-4.775912,14.2271385,-12.581234,-11.554875,-14.503422,-4.8884044,3.0239642,0.7166962,-5.1817756,-7.413264,-1.7494583,-3.0923884,-6.0187464,-3.0985427,-2.3445077,-3.0629475,0.07345357001582278,calm
Actor_03,03-01-04-02-02-02-03.wav,-503.2616,75.795685,-5.7426634,11.326399,1.0718488,10.99579,-2.8999624,-0.7729065,-10.083305,-5.325581,-8.96486,-8.641292,-2.4564226,-2.0495143,-7.079066,-1.7392247,-2.0972342,-2.628118,-0.506431,0.06499253,0.042501515355603446,sad
Actor_02,03-01-08-01-02-02-02.wav,-615.47516,57.472298,-15.626009,3.113027,-2.8661318,1.6390876,-15.600986,0.7807729,-11.471948,-5.5486007,-5.0323143,-3.548146,-6.5748534,-4.4573746,-5.011845,-3.0914652,1.7691952,-0.33272707,-3.8341663,0.43132034,0.08484769154743976,surprised
Actor_17,03-01-08-01-01-02-17.wav,-589.16644,59.493694,1.778286,19.554316,2.779911,13.095903,0.54662406,10.840823,0.38527504,0.8171382,0.078319244,2.7658968,2.8743663,-0.08466203,1.4420455,4.435477,-1.485301,1.0570583,2.3713784,-1.45048,0.05319115423387097,surprised
Actor_09,03-01-01-01-01-01-09.wav,-771.5905,100.49775,22.603916,28.222462,20.75665,24.176329,5.5462356,8.003058,4.282117,4.4004383,7.340108,4.594511,1.8255424,3.3913937,7.343661,5.230783,1.6717398,4.6880274,3.1378849,1.9713598,0.03397610443811075,neutral
Actor_07,03-01-04-02-02-02-07.wav,-616.4188,69.513985,2.4691534,13.518837,5.353673,16.909077,-8.667481,-8.921057,-5.704484,-6.543908,-10.842329,-4.1780553,-3.427842,-7.1933174,-4.899242,-0.3166728,-5.8178344,-6.5502787,-1.5570097,-3.9517388,0.09390733506944444,sad
Actor_15,03-01-02-02-02-02-15.wav,-674.44617,96.40948,5.099513,25.444273,6.3215117,18.864279,-1.1418281,9.577474,-2.0761936,1.5441185,2.2683847,0.7602922,-1.3601359,4.1090455,1.3633834,-1.76312,-0.22421707,3.3481362,-1.3617425,0.19598524,0.05089826414571006,calm
Actor_16,03-01-04-02-01-01-16.wav,-641.3744,74.08121,-8.787225,5.2403283,4.5504904,5.2855196,-12.394576,-9.86465,-17.020575,-9.249639,-3.1178515,-0.3502967,-8.128353,-9.056717,1.0427654,0.52478135,-8.303824,-4.5813675,-2.3361013,-4.819353,0.07350928151709402,sad
Actor_21,03-01-02-02-02-01-21.wav,-621.4217,85.623146,7.1625423,14.328388,10.574206,19.92952,-9.537478,6.5271907,-2.902398,-7.529663,-3.391246,0.4284322,2.778315,-2.1442716,-1.1914101,3.0571346,2.8640854,0.2327308,0.073945425,-2.1981242,0.12229054244523196,calm
Actor_18,03-01-07-01-02-02-18.wav,-598.18866,59.422256,-1.4895415,3.5391922,-10.25005,6.200447,-10.931191,1.0275557,-10.835167,-10.086814,-7.1009903,-3.5886037,0.11573613,-6.2211776,-4.3948255,-0.737334,-4.907269,-1.9074473,-2.9785347,-5.8216233,0.07830363948170732,disgust
Actor_07,03-01-01-01-01-02-07.wav,-682.37585,94.25595,8.088109,20.869524,7.5562816,18.462164,-7.737593,3.6498575,-9.894824,-0.8045709,3.128355,-1.6335583,-2.6802003,0.4845888,1.0966505,4.754304,-6.471555,1.1871469,3.677612,-4.4130964,0.07466873468137254,neutral
Actor_24,03-01-07-02-02-01-24.wav,-534.35126,53.048775,-19.99443,-2.8204713,-10.900537,-5.445452,-15.473699,-5.1895003,-15.998716,-8.2053175,-3.8836699,-3.6515813,-5.991228,-5.096849,-1.8520997,-6.9061885,-4.4088516,-1.6193073,-6.967364,-5.648287,0.09471306728957286,disgust
Actor_17,03-01-05-01-02-02-17.wav,-646.2055,73.355644,3.299726,18.931334,7.5603275,20.098171,-1.6858197,12.995597,-0.5772234,-5.228535,1.2588867,4.2221165,0.1840555,-3.2389452,3.6642435,6.1449046,-1.5301155,1.6534932,2.7245564,-0.6137848,0.08452560240963855,angry
Actor_17,03-01-05-02-01-01-17.wav,-476.84186,60.610386,-8.844462,4.91619,7.033622,10.656179,-4.163401,4.3237147,1.9951909,-3.1509442,-4.087602,1.8758668,-0.7420317,-5.320312,0.7266138,3.6207213,-3.8098,-0.8578074,-0.27701122,-2.2206852,0.07236060980243161,angry
Actor_23,03-01-01-01-02-01-23.wav,-647.62885,70.053185,-2.6149004,5.3701506,2.0041893,17.809736,-11.133021,0.9463768,-1.4836403,-4.695195,-7.283162,-4.738321,0.615717,-1.8340914,-4.601631,-0.18127817,-1.3318624,-4.4532576,0.19018272,-2.008092,0.05391757246376812,neutral
Actor_13,03-01-05-01-01-02-13.wav,-607.1767,69.64046,-5.5676093,10.78841,1.2558451,7.298412,-5.241711,0.31707478,-3.4492023,-3.6468234,-6.937588,-1.033141,0.44517517,-4.0694075,-1.2368562,3.9889798,-2.596161,-2.0268664,3.042523,-2.503589,0.0641810405685241,angry
